OBJ_ID,CATEGORY,KEY,SMALL_VALUE,LOB_VALUE,AUDIT_SEQ
10476343,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476345,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476347,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476349,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476351,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476353,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476355,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476357,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476359,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476361,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476363,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476365,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476367,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476369,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476371,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476373,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476375,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476377,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476379,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476381,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476383,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476385,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476387,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476389,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476391,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476393,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476395,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476397,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476399,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476401,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476403,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476405,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476407,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476409,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476411,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476413,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476415,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476417,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476419,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476421,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476423,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476425,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476427,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476429,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476431,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476433,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476435,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476437,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476439,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476441,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476443,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476445,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476447,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476449,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476451,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476453,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476455,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476457,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476459,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476461,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476463,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476465,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476467,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476469,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476471,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476473,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476475,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476477,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476479,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476481,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476483,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476485,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476487,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476489,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476491,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484001,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484003,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484005,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484007,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484009,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484011,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10484013,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10487001,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489001,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489003,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489005,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489007,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489009,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489011,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489013,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489015,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489017,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489019,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489021,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489023,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489025,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489027,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489029,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489031,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489033,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489035,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489037,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489039,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489041,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489043,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489045,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489047,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489049,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489051,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489053,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489055,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489057,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489059,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489061,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489063,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489065,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489067,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489069,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489071,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489073,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489075,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489077,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489079,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489081,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489083,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489085,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489087,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489089,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489091,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489093,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489095,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489097,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489099,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489101,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489103,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489105,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489107,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489109,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489111,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489113,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489115,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489117,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489119,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489121,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489123,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489125,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489127,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489129,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489131,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489133,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489135,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489137,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489139,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489141,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489143,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489145,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489147,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10489149,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497001,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497003,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497005,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497007,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497009,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497011,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497013,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497015,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497017,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497019,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497021,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497023,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497025,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497027,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497029,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497031,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497033,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497035,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497037,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497039,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497041,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497043,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497045,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497047,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497049,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497051,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497053,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497055,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497057,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497059,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497061,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497063,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497065,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497067,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497069,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497071,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497073,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497075,IP_FIREFNO,FIREFNO,1.2021E+18,,1
